id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,coordinates
46352,A room in Pasolini's house,Porto - Saragozza,Private room,29,1,264,16/02/2020,2.71,355,"44.49168,11.33514"
233922,Big and central studio open space,Porto - Saragozza,Entire home/apt,60,4,19,07/08/2016,0.2,157,"44.49589,11.32976"
246747,Charming centro Bologna room with rooftop view,Porto - Saragozza,Private room,68,2,20,20/03/2019,0.19,364,"44.49702,11.34291"
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,Porto - Saragozza,Entire home/apt,75,3,53,08/11/2014,0.63,211,"44.49487,11.33241"
369531,independent room kitchen-bathroom,Savena,Private room,50,3,31,20/02/2015,0.27,177,"44.46817,11.37714"
411523,Melograno's house downtown Bologna,Santo Stefano,Entire home/apt,85,3,100,26/05/2021,1.02,213,"44.4931,11.35442"
510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",Borgo Panigale - Reno,Private room,100,1,52,14/07/2013,0.49,365,"44.49596,11.2911"
570880,sweet loft in bologna's heart,Porto - Saragozza,Entire home/apt,100,2,65,19/07/2018,0.64,127,"44.49147,11.33661"
678013,CasaSimo-Appartamento su 2 livelli,San Donato - San Vitale,Entire home/apt,65,2,27,23/04/2017,0.28,327,"44.49647,11.36231"
684271,Ca 'de' Fiori self catering apartm.,Navile,Entire home/apt,120,2,4,11/11/2018,0.06,365,"44.51541,11.34628"
708145,A little nest in Bologna,Borgo Panigale - Reno,Entire home/apt,1429,2,32,02/12/2016,0.32,362,"44.50815,11.29563"
732204,V4 - BOLOGNA AT HEART,Porto - Saragozza,Private room,41,1,426,15/11/2019,4.28,256,"44.49779,11.34232"
742415,"IN FIERA 5: large,in the face fair",San Donato - San Vitale,Entire home/apt,179,1,32,02/04/2019,0.36,231,"44.50522,11.36354"
749324,Quiet Studio in Old Town,Porto - Saragozza,Entire home/apt,68,2,333,12/02/2020,3.15,321,"44.49561,11.3361"
793706,Miniappartamento in Tavernetta,Santo Stefano,Entire home/apt,25,3,342,01/10/2019,3.31,50,"44.48753,11.34114"
840951,Attic in historical center in Bolog,Porto - Saragozza,Entire home/apt,90,3,109,12/10/2019,1.33,241,"44.49442,11.33176"
875210,"WiFi, new Studio/Loft in Fiera and BO center!!",San Donato - San Vitale,Entire home/apt,69,4,43,15/09/2018,0.42,291,"44.50659,11.3677"
884148,APOSA FLAT / CITY CENTER - BO,Santo Stefano,Entire home/apt,45,1,653,04/10/2020,6.42,247,"44.49945,11.34566"
961864,"LARGE DOUBLE ROOM, IN THE CENTER",Porto - Saragozza,Private room,50,5,42,18/03/2019,0.47,365,"44.4931,11.33756"
993645,Villa Benni An elegant mansion b&b,Porto - Saragozza,Private room,104,1,87,24/02/2020,0.9,360,"44.48867,11.31842"
1001947,Casa Dumas,Santo Stefano,Entire home/apt,67,2,93,19/08/2019,0.93,155,"44.4943,11.35324"
1007486,APPARTAMENTO CON PARCHEGGIO E GIARDINO,Borgo Panigale - Reno,Entire home/apt,65,3,1,17/04/2013,0.01,324,"44.54493,11.24909"
1013831,A gourmet's cozy apt near the station (+garden),Navile,Entire home/apt,43,2,163,19/09/2019,1.73,161,"44.5163,11.34284"
1022814,Camera Bolognese di Carlo Alberto,Porto - Saragozza,Hotel room,89,1,1,11/06/2013,0.01,0,"44.50326,11.34192"
1022914,A whole house and a walk downtown,Porto - Saragozza,Entire home/apt,71,2,56,29/09/2016,0.61,362,"44.49625,11.32006"
1023596,APT IN DOWNTOWN WITH A LOT OF GREEN,Porto - Saragozza,Entire home/apt,75,2,102,27/12/2019,1.33,329,"44.49559,11.33248"
1029853,Bologna Best Bed : feel at home,Navile,Entire home/apt,60,2,155,22/09/2019,1.56,81,"44.51612,11.34044"
1076605,FAIR&FICO! ROOM&BREAKFAST From Dusk till Dawn,San Donato - San Vitale,Private room,34,2,81,22/09/2018,0.83,365,"44.50072,11.37081"
1078032,Moderno mono stile loft 2284 BO,Navile,Entire home/apt,54,1,2,19/12/2019,0.05,1,"44.52533,11.33335"
1093891,Bright&elegant attic in the heart of Bologna! 1471 - 09e2032c,Santo Stefano,Entire home/apt,56,1,3,18/07/2018,0.09,1,"44.49986,11.35159"
1105477,Private room in Bologna,Borgo Panigale - Reno,Private room,36,1,16,09/03/2020,0.37,365,"44.49736,11.29391"
1181594,lovely flat in Bologna city center,Porto - Saragozza,Entire home/apt,45,2,441,26/05/2021,4.45,267,"44.49849,11.34012"
1199947,Al Morelo / Ceity Center-BO,Santo Stefano,Entire home/apt,43,1,111,23/02/2020,1.24,226,"44.49807,11.34507"
1222983,In the heart and soul bologna,Porto - Saragozza,Private room,64,1,5,23/03/2016,0.07,365,"44.49867,11.33771"
1228143,Comfortable flat in the city centre,Porto - Saragozza,Entire home/apt,65,2,80,30/12/2019,0.86,239,"44.4948,11.33022"
1250790,In the heart and soul of Bologna,Porto - Saragozza,Private room,64,3,10,08/10/2015,0.1,365,"44.49828,11.33821"
1364242,MAST AIRPORT proximity and 10 min from the CENTER,Borgo Panigale - Reno,Private room,39,1,39,07/07/2014,0.41,192,"44.50554,11.29359"
1435627,heart of Bologna Piazza Maggiore,Porto - Saragozza,Entire home/apt,51,2,453,07/01/2020,4.8,118,"44.49321,11.33569"
1468732,Spacious one bedroom Gigli/3052 BO,Santo Stefano,Entire home/apt,63,1,0,,,0,"44.47725,11.37036"
1571942,Cozy apartment in a quiet area,Navile,Private room,28,2,52,26/02/2019,0.55,363,"44.51813,11.33951"
1577979,A room in Pasolini's house 2,Porto - Saragozza,Private room,28,1,260,15/10/2019,2.83,350,"44.49169,11.33361"
1676504,Sweet Wolf - historical centre Bo,Porto - Saragozza,Entire home/apt,40,2,49,13/11/2019,0.52,201,"44.49644,11.3422"
1782703,A beautiful view on the old canal,Santo Stefano,Entire home/apt,86,2,65,17/04/2019,0.69,162,"44.50017,11.34858"
1827439,La Casa del Borgo in the heart of Bologna,Santo Stefano,Entire home/apt,75,2,93,11/08/2017,1.02,224,"44.5003,11.34796"
1929841,Petit Bijou avec Jardin,Porto - Saragozza,Entire home/apt,80,2,103,13/11/2018,1.12,192,"44.49669,11.33163"
1942540,Vista su Piazza Aldrovandi,Santo Stefano,Private room,60,1,53,26/10/2015,0.6,192,"44.49425,11.351"
1948469,Casa di Michela,Porto - Saragozza,Private room,35,1,22,13/09/2020,0.31,201,"44.4998,11.32478"
1962775,Bright & Comfortable BedRoom,Navile,Private room,28,2,33,14/02/2020,0.41,205,"44.51616,11.3298"
2099619,Casa Andrea APPARTAMENTO ESCLUSIVO,Porto - Saragozza,Entire home/apt,60,2,153,19/06/2021,1.67,323,"44.49622,11.32639"
2112874,"Appartamento FIERA, SANT'ORSOLA, CENTRO",San Donato - San Vitale,Entire home/apt,60,1,170,01/11/2019,1.92,68,"44.50074,11.37342"
2175745,COZY APARTMENT IN BOLOGNA,Navile,Entire home/apt,40,2,57,23/04/2019,0.64,254,"44.51512,11.34633"
2176533,Stanza privata in appartamento accogliente,Navile,Private room,25,2,46,04/11/2018,1.09,228,"44.51519,11.34631"
2212785,APPARTAMENTO SOGGIORNI BREVI,Borgo Panigale - Reno,Entire home/apt,39,2,0,,,363,"44.50636,11.30745"
2256148,Arte & Ospitalità da Nonno EROS/ERA,San Donato - San Vitale,Private room,21,1,68,29/09/2019,0.76,36,"44.50454,11.37639"
2280311,"""Behind Lumieré"" Big & Sunny room in Art District",Porto - Saragozza,Private room,43,1,212,28/06/2021,3.03,72,"44.49868,11.33677"
2317752,Central room with private bathroom,Porto - Saragozza,Entire home/apt,33,2,138,18/10/2017,1.59,320,"44.49676,11.33269"
2378587,Z8 Acqua - Comfortable two bedrooms apartment,Santo Stefano,Entire home/apt,97,1,192,26/06/2021,2.22,198,"44.50221,11.35161"
2409234,bungalow with two bedrooms,Borgo Panigale - Reno,Entire home/apt,141,1,86,22/09/2019,0.97,16,"44.5147,11.28499"
2427567,indipendent and bright studio,Borgo Panigale - Reno,Entire home/apt,131,1,68,23/12/2018,0.76,63,"44.51452,11.28516"
2539216,Frida Room & Breakfast Violet Room,San Donato - San Vitale,Private room,50,1,3,19/05/2019,0.08,365,"44.4967,11.36093"
2541104,silence and calm in the city center,Santo Stefano,Entire home/apt,80,4,15,12/11/2018,0.37,363,"44.48568,11.35544"
2627857,B&B CASABOLOGNA,San Donato - San Vitale,Private room,69,2,2,08/01/2018,0.03,253,"44.4924,11.37796"
2737281,"Tra gli affreschi di Bologna, arte e italian style",Santo Stefano,Private room,75,2,20,01/10/2015,0.27,365,"44.49309,11.3497"
2840748,B&B A casa di Bongi,Borgo Panigale - Reno,Entire home/apt,30,1,38,23/11/2019,1.12,304,"44.50626,11.3019"
2963789,CASA LUCY APARTMENTS,Borgo Panigale - Reno,Entire home/apt,39,1,64,08/11/2015,0.74,29,"44.51117,11.28934"
2971465,The most beautiful sight in Bologna,Porto - Saragozza,Entire home/apt,200,3,129,08/04/2017,1.57,287,"44.49838,11.34026"
3027617,Manifattura Delle Arti,Porto - Saragozza,Private room,30,1,150,18/06/2019,2.34,299,"44.50065,11.33531"
3121859,Affittacamere Casa Maria Orri,San Donato - San Vitale,Private room,25,30,2,09/10/2016,0.03,177,"44.49398,11.37486"
3222047,"Nice room in downtown, double bed",Santo Stefano,Private room,25,2,22,01/09/2017,0.27,192,"44.49152,11.35417"
3276344,Apartment in Historic Center,Santo Stefano,Entire home/apt,56,2,6,13/09/2019,0.09,213,"44.49531,11.35227"
3333656,Jolly Farmer FIERA,Navile,Private room,80,1,6,04/11/2019,0.13,365,"44.51292,11.35283"
3748572,Roomy & Cozy Apt X 7! Prime Location!,Santo Stefano,Entire home/apt,100,2,106,05/09/2019,1.53,34,"44.49759,11.34338"
3802596,Bologna Spazio Silenzioso,Borgo Panigale - Reno,Entire home/apt,49,1,510,23/02/2020,6.22,190,"44.51015,11.2971"
3854536,Cozy Studio Flat in central Bologna,Santo Stefano,Entire home/apt,200,4,43,29/06/2015,0.52,90,"44.48588,11.34096"
3893521,city center flat with hills' view,Porto - Saragozza,Entire home/apt,75,2,147,26/01/2020,1.77,73,"44.49042,11.33013"
3934991,cosy apartment for two,Borgo Panigale - Reno,Entire home/apt,30,2,24,30/09/2019,0.34,240,"44.50582,11.29834"
4011989,Splendido e lussuoso appartamento,Porto - Saragozza,Entire home/apt,86,3,28,03/10/2016,0.34,362,"44.48833,11.32363"
4147236,Deliziosa casetta di charme!,Santo Stefano,Entire home/apt,65,2,344,30/05/2021,4.15,300,"44.48763,11.34109"
4179539,stanza privata zona fiera.,San Donato - San Vitale,Private room,75,1,4,16/03/2019,0.12,363,"44.50212,11.3645"
4186179,Camera doppia. Bagno privato,San Donato - San Vitale,Private room,30,1,26,22/05/2015,0.34,365,"44.49217,11.37779"
4216780,Delizioso accogliente appartamento - FICO,San Donato - San Vitale,Entire home/apt,62,1,98,05/06/2019,1.19,288,"44.50523,11.37984"
4231365,Camera con due letti singoli,San Donato - San Vitale,Private room,40,1,0,,,288,"44.50545,11.3797"
4238047,Fulcanelli - Marvellous 90sq.mt Bologna centre,Santo Stefano,Entire home/apt,287,1,5,29/10/2019,0.07,0,"44.49464,11.34453"
4254214,Blue Room - Casa  Fluò Relais,Santo Stefano,Private room,154,1,3,22/06/2021,0.05,334,"44.44571,11.31906"
4254246,Yellow Room - Casa Fluò Relais,Santo Stefano,Private room,137,1,1,26/09/2018,0.03,342,"44.44348,11.31886"
4267676,Romantic Art Homestay in Bologna,Porto - Saragozza,Entire home/apt,65,2,62,17/02/2019,0.8,364,"44.49497,11.33182"
4275165,LOVELY & QUITE NEAR AIRPORT&STATION,Borgo Panigale - Reno,Entire home/apt,148,1,65,18/09/2019,0.86,56,"44.51474,11.28477"
4275390,VERY BELLO TRA STAZIONE E AEROPORTO,Borgo Panigale - Reno,Entire home/apt,106,1,84,04/10/2018,1.1,42,"44.51443,11.28442"
4296228,Villa Alma Monolocale 2,Santo Stefano,Entire home/apt,40,7,17,26/09/2017,0.21,0,"44.47909,11.33618"
4316416,Apartment in the historic center.,Santo Stefano,Entire home/apt,60,1,98,01/04/2018,1.2,0,"44.48555,11.34656"
4324120,Residenza La Stazione,Navile,Entire home/apt,59,2,61,29/12/2018,0.8,36,"44.50871,11.34308"
4445459,AI GIARDINI DI MONTE SOLE,Navile,Private room,41,1,12,04/04/2019,0.16,365,"44.52675,11.34485"
4471957,La Zucca B&B - Bologna,Navile,Private room,65,1,42,19/05/2019,0.55,309,"44.51336,11.34922"
4647054,CHARMING FLAT IN HISTORICAL CENTER,Porto - Saragozza,Entire home/apt,8999,2,16,20/03/2017,0.2,0,"44.49939,11.34116"
4686729,B&B da Betta - Feels like home...,Navile,Private room,53,1,18,30/03/2018,0.26,303,"44.52439,11.3607"
4715259,Cozy 50m flat vintagedesign Long term Bolonia,Porto - Saragozza,Entire home/apt,76,5,5,06/01/2017,0.09,232,"44.49157,11.30521"
4800113,City center flat with hills view,Santo Stefano,Entire home/apt,50,3,142,17/09/2019,1.96,85,"44.48083,11.33797"
4834186,Inside gates 12thcentury city wall,Porto - Saragozza,Entire home/apt,30,31,27,05/10/2019,0.34,139,"44.49549,11.33735"
5001023,Le statue-luxury open space-five stars suite,Porto - Saragozza,Entire home/apt,75,2,217,13/10/2019,2.83,322,"44.49894,11.34127"
5012513,"When the '500's Poetry ""Checked in""",Porto - Saragozza,Entire home/apt,67,2,243,17/02/2020,3.14,165,"44.49272,11.34069"
5013391,A due passi - camera Sole,Porto - Saragozza,Private room,82,2,16,09/04/2017,0.23,364,"44.49438,11.33973"
5033080,Ca' di Vale: uno scorcio sui tetti,Porto - Saragozza,Entire home/apt,58,3,112,11/03/2019,1.59,327,"44.49258,11.33192"
5048949,Romantic apartment on the roof,Santo Stefano,Entire home/apt,90,2,210,01/12/2019,2.66,304,"44.49771,11.34966"
5125479,Charming apartment in the center,Porto - Saragozza,Entire home/apt,75,2,86,26/01/2020,1.11,73,"44.49344,11.33552"
5229284,Charming Apartment in Old Town,Porto - Saragozza,Entire home/apt,60,2,42,08/06/2019,0.56,57,"44.50363,11.33883"
5530453,Casa delle Moline.......nel cuore di Bologna,Santo Stefano,Entire home/apt,65,1,65,02/06/2021,0.85,94,"44.49866,11.34594"
5560418,Emilia Residence,Savena,Entire home/apt,350,5,60,01/06/2019,0.78,365,"44.48116,11.38227"
5596958,Quiet House in Bologna center,Santo Stefano,Entire home/apt,51,2,135,21/08/2020,2.03,321,"44.49138,11.35653"
5666813,Central Loft with Air Conditioning,Santo Stefano,Entire home/apt,49,30,332,06/01/2020,4.86,267,"44.49905,11.35351"
5691896,BILOCALE ARREDATO,Porto - Saragozza,Entire home/apt,91,1,0,,,364,"44.50492,11.30965"
5856975,"Le stanze di Sara - room ""Elegante""",Porto - Saragozza,Private room,66,1,15,25/03/2019,0.21,278,"44.49743,11.33178"
5867886,Appartamento nel cuore della città,Porto - Saragozza,Entire home/apt,120,2,48,03/07/2016,0.63,0,"44.49652,11.33302"
5938714,Ca' del Genio: camera con vista,Porto - Saragozza,Private room,70,15,131,21/10/2019,1.79,345,"44.48075,11.32246"
5952668,"Martini's Interno 3
-Centro  storico ma non Ztl-",Porto - Saragozza,Entire home/apt,80,2,373,14/01/2020,4.93,269,"44.49637,11.3288"
6014087,Casa Dotti : un B&B nel verde,Porto - Saragozza,Entire home/apt,70,1,34,07/06/2017,0.49,362,"44.487545,11.316307"
6061875,Delightful sunny apartment,Santo Stefano,Entire home/apt,95,7,34,04/08/2019,0.48,314,"44.47945,11.33741"
6141627,b&b galleria del reno,Porto - Saragozza,Private room,40,1,5,11/06/2016,0.07,361,"44.49904,11.34001"
6150628,Appartamento nel centro di Bologna,Porto - Saragozza,Entire home/apt,124,2,74,22/10/2019,1.04,147,"44.49678,11.32967"
6220720,Quiet apartment in city centre,Santo Stefano,Entire home/apt,88,4,4,09/07/2015,0.05,0,"44.50139,11.34941"
6334060,Casa Donata,Santo Stefano,Private room,42,2,17,28/12/2016,0.24,89,"44.47835,11.34011"
6349765,Suite Nico Bologna Centro,Porto - Saragozza,Entire home/apt,133,1,35,30/08/2020,2.82,317,"44.50451,11.34532"
6469289,"Funtanìr rooms, Bologna center",Porto - Saragozza,Entire home/apt,407,2,91,08/09/2019,1.35,90,"44.49828,11.33685"
6478930,"Ensuite Single Room, Bologna Center",Porto - Saragozza,Private room,52,1,21,23/06/2016,0.28,6,"44.49846,11.33643"
6617704,Feste e grigliate tra amici,San Donato - San Vitale,Entire home/apt,50,1,24,23/08/2020,0.39,172,"44.52647,11.40216"
6617713,Antico podere nel verde di Bologna,San Donato - San Vitale,Private room,300,1,12,06/04/2017,0.18,357,"44.52763,11.40257"
6711715,"Ensuite Twin Room, Bologna center",Porto - Saragozza,Private room,62,1,28,22/05/2016,0.38,9,"44.49846,11.33643"
6753167,B & B 21,Santo Stefano,Entire home/apt,124,2,100,12/10/2019,1.37,210,"44.50093,11.34845"
6808897,QUIET  DOUBLE ROOM in front of the TRAIN STATION,Navile,Private room,38,3,14,19/08/2018,0.27,89,"44.50657,11.34272"
6908792,Double room #1,Santo Stefano,Private room,36,2,23,26/11/2017,0.32,365,"44.50203,11.34997"
6909146,Single Room #1,Santo Stefano,Private room,25,2,88,07/07/2017,1.3,342,"44.50204,11.35001"
6909267,Single room #2,Santo Stefano,Private room,30,2,25,09/07/2017,0.39,364,"44.50204,11.34994"
7112907,Accogliente stanza in centro storico,Santo Stefano,Private room,25,1,88,10/08/2018,1.23,0,"44.49375,11.3518"
7138583,QUIET LOVELY ROOM IN THE HEART OF BOLOGNA,Porto - Saragozza,Private room,40,2,67,13/10/2019,0.93,0,"44.49706,11.33371"
7155821,Appartamento: 2 camere da letto 2 bagni e cucina,Santo Stefano,Entire home/apt,75,7,15,15/06/2019,0.26,111,"44.48977,11.36055"
7164887,Lovely central apartment in Bologna,Porto - Saragozza,Entire home/apt,42,3,126,22/04/2019,1.74,43,"44.4952,11.33016"
7188003,Asinelli - 2bdr 85 sq.mt in Piazza Maggiore,Santo Stefano,Entire home/apt,197,1,23,10/10/2019,0.35,0,"44.49388,11.34285"
7274563,"16° ""FAMILY.3"" - 2 Cozy King Bedroom + Bathroom",Navile,Entire home/apt,69,1,17,17/10/2019,0.24,0,"44.51555,11.35151"
7298587,Camera in centro storico,Santo Stefano,Private room,33,1,239,27/09/2019,3.28,161,"44.49512,11.35261"
7406917,meditation room,Santo Stefano,Private room,50,1,24,10/06/2018,0.46,0,"44.49235,11.34774"
7442902,Charming Apartment two towers view,Santo Stefano,Entire home/apt,170,3,29,31/07/2019,0.55,324,"44.49332,11.34445"
7553325,Stanza matrimoniale in centro,Santo Stefano,Private room,46,1,107,20/06/2020,1.75,181,"44.50024,11.34921"
7555420,Stanza matrimoniale o doppia,Santo Stefano,Private room,46,1,103,12/01/2019,1.55,184,"44.49893,11.34808"
7612022,Cozy apartment in the center,Porto - Saragozza,Entire home/apt,62,3,18,03/11/2015,0.26,363,"44.49378,11.33383"
7707561,Bentivogli Panoramic skyView - La casa nido -,San Donato - San Vitale,Entire home/apt,42,1,485,08/02/2021,6.79,228,"44.49909,11.36391"
7767032,"Blue Room, cozy flat in city center",Porto - Saragozza,Private room,45,2,82,29/09/2018,1.27,358,"44.49124,11.33681"
7835540,appartamento serlio 24/2,Navile,Entire home/apt,120,1,0,,,365,"44.50748,11.35123"
7932120,Appartamento centrale con terrazzo e parcheggio,Porto - Saragozza,Entire home/apt,58,4,36,01/10/2018,0.79,0,"44.50047,11.3329"
7996811,Scendidal treno vivi bologna centro,Santo Stefano,Entire home/apt,50,2,133,01/10/2018,1.88,135,"44.50248,11.35196"
8013326,"2,5 KM FAR FROM FAIR, FREE PARK!",San Donato - San Vitale,Entire home/apt,85,1,22,01/09/2020,0.31,167,"44.51783,11.3953"
8013456,2 bed/1bath Sant'Orsola hospital Fair center,San Donato - San Vitale,Entire home/apt,39,1,28,03/03/2020,0.4,265,"44.4921,11.37048"
8238912,Stanza blu con vista,Santo Stefano,Private room,28,1,0,,,363,"44.46554,11.3521"
8323255,MANSARDA *Sakura* IN PIENO CENTRO STORICO -Bologna,Santo Stefano,Private room,54,1,23,11/05/2019,0.33,365,"44.49158,11.35406"
8366007,Loft Little Lion,Savena,Entire home/apt,50,1,137,22/09/2019,2.14,175,"44.48207,11.38091"
8417950,Apartments to rent in Bologna,Santo Stefano,Entire home/apt,85,3,80,02/11/2018,1.21,50,"44.49379,11.35057"
8502257,Deliziosa camera con bagno privato,Santo Stefano,Private room,60,2,9,05/04/2017,0.13,365,"44.50405,11.3527"
8565007,B&Bologna,Santo Stefano,Private room,68,1,37,17/04/2016,0.53,0,"44.47905,11.36065"
8577065,Ariosto Low-Cost Family Apartment,Santo Stefano,Entire home/apt,122,1,12,29/10/2018,0.55,208,"44.49742,11.34468"
8591768,Luca's 1 - Stadio/San Luca/Ingegneria/Maggiore,Porto - Saragozza,Entire home/apt,60,2,18,06/04/2019,0.27,0,"44.49564,11.3162"
8630595,Luminosa stanza in Zona Mambo,Porto - Saragozza,Private room,19,1,148,29/06/2019,2.13,314,"44.50574,11.33151"
8657975,At Grandma's (private bathroom),San Donato - San Vitale,Private room,20,1,276,18/09/2019,3.94,0,"44.49554,11.39802"
8697489,Z8 Terra - Nice studio flat,Santo Stefano,Entire home/apt,56,1,113,28/08/2018,1.63,182,"44.50221,11.35161"
8808918,stanza in centro a Bologna,Porto - Saragozza,Private room,31,2,135,23/02/2020,1.97,20,"44.4903,11.33653"
8813488,Bologna Suite,Navile,Entire home/apt,90,1,5,28/08/2016,0.09,96,"44.50978,11.34987"
8852215,I 4 GATTI Bologna Guesthouse x3,Porto - Saragozza,Private room,55,1,6,16/03/2019,0.12,90,"44.49236,11.32753"
9043638,Millenottibologna Apartment.,Santo Stefano,Entire home/apt,55,2,55,25/03/2019,0.79,0,"44.49899,11.34947"
9203421,COZY APT WITH FREE PRIVATE BOX & WELCOME CAKE,Navile,Entire home/apt,48,5,10,02/12/2019,0.15,0,"44.50886,11.3555"
9321461,80mq  a 2 passi da Clinica Toniolo,Savena,Entire home/apt,48,1,117,11/08/2019,1.73,316,"44.46567,11.37121"
9362571,CAMERA PANORAMICA BIKE,Navile,Private room,18,28,4,31/08/2018,0.07,278,"44.51309,11.34279"
9386423,lovely little art flat,Santo Stefano,Entire home/apt,60,3,18,30/09/2019,0.32,272,"44.4873,11.34202"
9468022,Cowbells penthouse,Porto - Saragozza,Entire home/apt,70,1,143,25/03/2018,2.25,71,"44.48753,11.32491"
9519037,Apartment in the heart of Bologna,Porto - Saragozza,Entire home/apt,141,3,12,26/05/2019,0.31,145,"44.49614,11.34145"
9785220,Mansarda Santa Margherita,Porto - Saragozza,Entire home/apt,80,2,18,21/05/2019,0.4,324,"44.49251,11.34037"
9901103,Quiet and cosy flat in Bologna,Porto - Saragozza,Entire home/apt,33,2,63,02/06/2017,0.94,0,"44.49015,11.3178"
9937528,Amobo b&b,Porto - Saragozza,Private room,110,1,1,04/05/2016,0.02,363,"44.49227,11.31908"
10023738,Gerardo's Flat:[Parking][Wi-Fi][SanLuca][Bus],Porto - Saragozza,Private room,150,1,4,13/04/2018,0.06,193,"44.48963,11.30097"
10063362,Lovely room with picturesque roof view,Santo Stefano,Private room,39,1,55,12/09/2018,0.94,302,"44.49286,11.35523"
10067021,Apartment San Donato 40 Bologna,San Donato - San Vitale,Entire home/apt,77,1,226,10/10/2019,3.46,57,"44.49987,11.35924"
10238867,Cozy room with Private Bathroom,Borgo Panigale - Reno,Private room,35,1,259,15/10/2019,4.14,334,"44.50206,11.3"
10326583,"Doppia, bagno privato esterno - B&B Cristina Rossi",Porto - Saragozza,Private room,73,1,12,21/11/2017,0.18,81,"44.49619,11.34147"
10327458,Matrimoniale Barocca - B&B Cristina Rossi,Porto - Saragozza,Private room,88,1,3,08/01/2018,0.05,81,"44.49619,11.34147"
10363306,Bella stanza in Porta Mazzini,San Donato - San Vitale,Private room,24,1,4,17/03/2018,0.1,89,"44.48634,11.37255"
10370772,Wagon-Lit una intera casa nel centro di Bologna,San Donato - San Vitale,Private room,300,1,1,02/09/2019,0.04,326,"44.49143,11.37553"
10401565,Room 5 min. to faire and station,Navile,Private room,28,1,190,10/10/2020,2.83,231,"44.51251,11.35029"
10486610,Tripla bagno privato esterno - B&B Cristina Rossi,Porto - Saragozza,Private room,105,1,0,,,43,"44.49619,11.34147"
10496254,ATTICO MONOLOCALE IN TERRAZZA,San Donato - San Vitale,Private room,54,3,19,16/09/2016,0.32,365,"44.50774,11.36181"
10504362,VIII Agosto Sq. & Opera House,Santo Stefano,Entire home/apt,80,3,19,30/06/2019,0.33,148,"44.49966,11.34978"
10608510,Appartamento in centro,Santo Stefano,Entire home/apt,120,3,28,12/09/2017,0.43,192,"44.4866,11.33832"
10619571,appartamento il salotto di bologna,Navile,Entire home/apt,70,1,0,,,365,"44.5084,11.35474"
10663659,Ampia camera doppia vicino a Stazione e Fiera,Navile,Private room,37,4,70,01/11/2018,1.05,355,"44.50977,11.34554"
10668280,Hidden Rose,Santo Stefano,Entire home/apt,84,2,27,23/02/2019,0.43,308,"44.48986,11.35557"
10763405,Suite in Bologna,Santo Stefano,Entire home/apt,86,3,31,18/03/2019,0.48,338,"44.49748,11.35397"
10764456,New Loft in the heart of Bologna!,Santo Stefano,Entire home/apt,63,1,276,12/06/2021,4.19,255,"44.48891,11.34988"
10794215,NIce flat in Bologna,Santo Stefano,Entire home/apt,100,1,0,,,365,"44.4774,11.37398"
10833448,Temporary House Colombina: in the heart of Bologna,Porto - Saragozza,Entire home/apt,69,2,9,12/09/2019,0.41,118,"44.49378,11.3413"
10833507,Lovely flat in the heart of Bologna,Santo Stefano,Entire home/apt,69,2,81,03/09/2019,1.23,118,"44.49518,11.34472"
10897522,Uno spazio di pace tra i libri,Porto - Saragozza,Private room,50,1,8,07/10/2018,0.24,363,"44.49936,11.33326"
10905459,Private apartment in the center of Bologna,Porto - Saragozza,Entire home/apt,57,1,68,23/02/2020,1.07,52,"44.49494,11.3324"
11065027,Suite centrale con soppalco,Porto - Saragozza,Private room,91,1,17,03/11/2019,0.3,364,"44.4967,11.34262"
11178061,Casa Vacanza Antonia Interno 5,San Donato - San Vitale,Entire home/apt,60,1,18,23/09/2019,0.28,244,"44.49156,11.39964"
11182521,Comodità in centro a Bologna con posto auto,Porto - Saragozza,Entire home/apt,80,3,61,28/10/2018,0.97,335,"44.50371,11.34012"
11207724,Appartamento nuovo e confortevole,Navile,Entire home/apt,125,1,236,16/10/2018,3.61,179,"44.54187,11.35696"
11236448,Awesome Two-Room Apartment near the Center,Porto - Saragozza,Entire home/apt,67,2,71,28/09/2019,1.22,161,"44.50454,11.34489"
11315554,Quite and Spacious 1 Bedroom Apt | Very Central,Santo Stefano,Hotel room,86,1,1,04/04/2017,0.02,71,"44.49641,11.34828"
11329073,Large Family Apartment - Unique Central Location,Santo Stefano,Hotel room,189,1,29,21/06/2020,0.48,156,"44.49641,11.34828"
11427425,Appartamento in Centro sotto le Torri,Santo Stefano,Entire home/apt,120,7,10,03/07/2021,0.16,165,"44.49342,11.34596"
11522860,Apartment in the historical centre,Santo Stefano,Entire home/apt,45,1,15,16/08/2019,0.35,151,"44.49094,11.35578"
11618939,UR-NEST Cesare Battisti B - Luxury Collection,Porto - Saragozza,Entire home/apt,1725,2,42,30/03/2018,0.7,285,"44.49514,11.33904"
11645317,Prestigioso attico su due piani .,Santo Stefano,Entire home/apt,360,2,7,11/10/2017,0.13,176,"44.4891,11.33177"
11676934,Casetta Sauro,Porto - Saragozza,Entire home/apt,50,1,303,01/03/2020,4.7,231,"44.49729,11.34044"
11762355,Monolocale con terrazzo in centro,Porto - Saragozza,Entire home/apt,90,1,31,26/09/2018,0.49,364,"44.50097,11.33486"
