id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,coordinates
23706512,Appartamento La casa dei gerani,Porto - Saragozza,Entire home/apt,49,2,15,26/09/2018,0.38,105,"44.49017,11.32123"
23723975,BOLOGNA STUDIO - RENO,Porto - Saragozza,Entire home/apt,75,2,1,13/05/2018,0.03,0,"44.49873,11.3372"
23724538,Mazzini Sunny Terrace.,Santo Stefano,Entire home/apt,60,25,63,30/03/2021,1.56,109,"44.48713,11.3644"
23724891,Double room with private bathroom,Savena,Private room,40,2,10,07/01/2020,0.25,259,"44.47491,11.39675"
23763192,B & B Sleeping,Porto - Saragozza,Private room,69,1,3,07/06/2018,0.08,101,"44.50484,11.3415"
23775887,B & B Sleeping,Porto - Saragozza,Hotel room,59,1,21,11/10/2019,0.54,299,"44.50388,11.34027"
23777596,Bologna Fiera,Navile,Private room,29,1,58,09/02/2020,1.45,1,"44.51658,11.35455"
23800925,Two Charming Double Bedrooms with Private Parking,Santo Stefano,Entire home/apt,200,15,82,18/01/2020,2.26,78,"44.48835,11.33271"
23814788,Casa Bella Tanari - Historical apartment,Porto - Saragozza,Entire home/apt,66,1,32,29/08/2018,0.89,38,"44.49941,11.34244"
23866848,Private Room in the heart of Bologna,Santo Stefano,Private room,59,1,3,10/06/2018,0.07,178,"44.48647,11.34913"
23870613,Elegant and Spacious apartment in Historic Center,Santo Stefano,Entire home/apt,96,2,93,16/12/2019,2.36,71,"44.49626,11.34811"
23880392,CASA MIA,Borgo Panigale - Reno,Entire home/apt,35,3,60,15/11/2019,1.53,192,"44.50799,11.29684"
23951879,Casa Pepe,San Donato - San Vitale,Entire home/apt,70,1,28,22/09/2019,0.71,281,"44.49046,11.36684"
23969393,Double room strategic position. Dm special offers!,Santo Stefano,Private room,31,1,19,26/06/2021,0.48,364,"44.48145,11.36841"
23984927,Maison Bononia - Intero Appartamento,Borgo Panigale - Reno,Entire home/apt,25,31,13,13/05/2019,0.36,0,"44.51003,11.30252"
24029316,Maison Wonder Nonna—Central Penthouse With Terrace,San Donato - San Vitale,Entire home/apt,110,2,43,26/01/2020,1.08,0,"44.49299,11.35928"
24128748,Nice studio in the heart of Bologna,Porto - Saragozza,Entire home/apt,55,2,168,30/12/2019,4.57,315,"44.49242,11.34023"
24156174,My Home in Bologna - La Rossa,Santo Stefano,Entire home/apt,74,1,261,18/06/2021,6.56,278,"44.49937,11.34602"
24164942,Cartoleria 24 - Ground floor,Santo Stefano,Entire home/apt,70,2,35,21/10/2019,1.08,346,"44.4892,11.3436"
24179015,il fortino dei pinatti/   FIERA,Navile,Entire home/apt,137,1,4,09/09/2018,0.12,185,"44.51841,11.35634"
24293934,Canonica grande- in the shadow of the 2 Towers,Santo Stefano,Entire home/apt,107,1,79,29/11/2019,2.23,130,"44.49507,11.34669"
24345029,Appartamento Pescarìe:in the heart of the old town,Santo Stefano,Entire home/apt,57,3,14,11/08/2018,0.36,36,"44.4935,11.34383"
24348040,"Appartamento Luna, in centro e comodo per stazione",Santo Stefano,Entire home/apt,80,3,15,28/05/2019,0.38,0,"44.50032,11.34812"
24410312,Strada Maggiore in the Heart of the Downtown,Santo Stefano,Entire home/apt,60,2,222,12/10/2020,6.12,0,"44.49395,11.35523"
24433977,Casa Stella Studio Parking Check-in h24 BLQ 10 min,Borgo Panigale - Reno,Entire home/apt,35,1,206,08/10/2019,5.34,7,"44.49774,11.29279"
24449303,Z8 Ferro - Just remodernised studio flat,Santo Stefano,Entire home/apt,56,1,29,30/09/2020,0.75,189,"44.50221,11.35161"
24484013,Secret Garden Apartment with Balcony x 4!BOOK NOW!,Santo Stefano,Entire home/apt,66,2,26,01/07/2019,0.66,0,"44.47918,11.36657"
24542657,Charming apartment in Bologna center,Porto - Saragozza,Entire home/apt,80,3,64,08/11/2019,1.64,9,"44.49457,11.33093"
24592371,Olly  apARTments,Navile,Entire home/apt,52,1,41,26/06/2019,1.46,177,"44.51123,11.35461"
24602558,DOMUS IRNERIO,Santo Stefano,Entire home/apt,63,2,91,13/05/2019,2.33,356,"44.50191,11.3499"
24723185,"Home ""suite"" home  Bologna centro",Santo Stefano,Entire home/apt,57,3,46,02/06/2019,1.21,152,"44.48827,11.34576"
24724445,Santapolly,Santo Stefano,Entire home/apt,42,15,64,03/11/2019,1.67,0,"44.49355,11.35521"
24748356,Pretty Finelli || The Place BO Apartments ||,Santo Stefano,Entire home/apt,58,2,28,27/05/2019,0.86,0,"44.50132,11.35034"
24817098,Bilocale (rif 601) con vista su Bologna,San Donato - San Vitale,Entire home/apt,80,1,2,06/05/2019,0.06,0,"44.50756,11.38765"
24849734,Matilde's Home - Trilocale in pieno centro storico,Porto - Saragozza,Entire home/apt,80,6,17,17/02/2020,0.44,0,"44.49013,11.34053"
24954597,Camera in pieno centro,Porto - Saragozza,Private room,40,1,12,26/07/2018,0.31,0,"44.50087,11.33908"
24957744,Camera Verde - La Casa nel Verde 2,Navile,Private room,37,1,2,30/09/2019,0.05,128,"44.54107,11.35605"
25039817,"Chez Fratellini, with Garden, Parking & the Story of Circus",Santo Stefano,Entire home/apt,120,2,55,10/06/2021,1.45,321,"44.48717,11.35966"
25047087,Chez Sophie,Santo Stefano,Entire home/apt,90,1,18,14/11/2018,0.47,88,"44.49701,11.34716"
25060095,Old Bridge Apartement,Santo Stefano,Entire home/apt,60,1,28,25/03/2020,0.77,304,"44.47621,11.37644"
25149146,Unione-private room,Santo Stefano,Private room,51,2,22,18/02/2019,0.59,101,"44.49442,11.35333"
25172218,Appartamento Giacobbi,Porto - Saragozza,Private room,165,1,3,08/10/2018,0.09,179,"44.49465,11.32169"
25229844,Pisolo home holidays near historical city center,San Donato - San Vitale,Entire home/apt,70,2,31,25/11/2019,0.86,119,"44.49515,11.37449"
25272177,Casa Vacanza Esmeralda,Savena,Entire home/apt,47,2,74,09/12/2019,2.29,133,"44.48002,11.38097"
25286416,Ros' home,San Donato - San Vitale,Private room,40,1,1,22/08/2018,0.03,178,"44.50271,11.36281"
25439225,Beautiful Room In The Heart Of The City,Santo Stefano,Private room,40,1,23,12/05/2019,0.71,178,"44.48718,11.3505"
25547355,Vergae,San Donato - San Vitale,Private room,20,1,48,16/10/2019,1.81,0,"44.49685,11.36157"
25570816,Apartment San Carlo - Bologna city center,Porto - Saragozza,Entire home/apt,400,2,51,11/09/2019,1.43,0,"44.50048,11.34074"
25660295,PRIVATE ROOM.per 1 o 2 persone in Bologna Fiere,San Donato - San Vitale,Private room,16,1,47,18/11/2019,1.29,192,"44.50855,11.35965"
25673913,ANCHE IN QUATTRO,San Donato - San Vitale,Entire home/apt,84,2,35,01/07/2019,0.97,144,"44.49321,11.35949"
25789044,Charming Loft San Mamolo,Santo Stefano,Entire home/apt,118,2,12,23/02/2020,0.41,27,"44.48679,11.34149"
25820381,Intero appartamento silenzioso e accogliente,Borgo Panigale - Reno,Entire home/apt,55,2,4,26/09/2019,0.22,7,"44.50877,11.30351"
25890903,"Bologna Holiday Inn, la tua casa a Bologna",Santo Stefano,Entire home/apt,160,2,62,26/12/2019,1.68,217,"44.50455,11.35209"
25970417,Studio d'artista nel centro di Bologna,Santo Stefano,Entire home/apt,65,2,16,03/04/2019,0.45,254,"44.49187,11.35488"
25989704,Delizioso Studio D'Azeglio appena ristrutturato,Santo Stefano,Entire home/apt,71,1,38,16/06/2020,1.07,252,"44.48632,11.34026"
26072266,Cozy  flat in the historic center of Bologna,Porto - Saragozza,Entire home/apt,79,2,59,16/06/2021,1.78,75,"44.49183,11.33678"
26073078,Suite Lame - a pochi passi da Piazza Maggiore.,Porto - Saragozza,Entire home/apt,400,2,170,24/09/2019,4.59,102,"44.49667,11.33586"
26122679,"CasaDolceCasa, relax in centro storico",Porto - Saragozza,Entire home/apt,68,2,5,01/10/2018,0.14,0,"44.49822,11.33571"
26122686,Guerrazzi Luxury Aparment,Santo Stefano,Entire home/apt,87,2,4,17/07/2018,0.21,0,"44.49127,11.35187"
26152275,Corte Paradiso | 2Apartments & Courtyard  2020,Porto - Saragozza,Entire home/apt,176,2,10,05/07/2020,0.54,280,"44.49729,11.33239"
26345274,Casa Bella San Felice,Porto - Saragozza,Entire home/apt,62,2,15,16/08/2019,0.44,38,"44.49652,11.33245"
26351533,BORGO SARTONI APARTMENTS,Navile,Entire home/apt,84,1,42,20/07/2019,1.25,9,"44.54812,11.35277"
26362963,Casa nelle Mura,Santo Stefano,Entire home/apt,56,2,52,10/09/2019,2.28,72,"44.48745,11.34077"
26375480,Room Sweet Room,Borgo Panigale - Reno,Private room,100,1,1,12/09/2018,0.03,0,"44.49324,11.30351"
26549149,Posto letto in casa carina e nuova,San Donato - San Vitale,Shared room,14,2,15,02/01/2020,0.42,324,"44.49995,11.36875"
26591114,Podere Spirito Santo a pochi minuti dal centro,Borgo Panigale - Reno,Entire home/apt,26,2,9,01/06/2019,0.26,293,"44.52954,11.23908"
26604828,MANSARDA 33 - CENTRO STORICO,Santo Stefano,Entire home/apt,46,2,193,04/08/2020,5.59,53,"44.49825,11.34364"
26627752,santostefano downtown,Santo Stefano,Entire home/apt,79,3,10,06/09/2018,0.3,361,"44.48833,11.35251"
26759738,Room with big bed near S. Orsola,San Donato - San Vitale,Shared room,25,1,0,,,89,"44.49525,11.35935"
26878289,Elegante monolocale nel centro di bologna (p.1),Santo Stefano,Entire home/apt,41,1,150,13/10/2019,4.21,139,"44.48562,11.34411"
26976169,La Casa a Colori di Bologna,Navile,Entire home/apt,70,1,0,,,179,"44.54116,11.35841"
27132705,Battisti Luxury in the historical city centre,Porto - Saragozza,Entire home/apt,118,2,14,11/09/2019,0.41,66,"44.49386,11.33844"
27180783,"UGO BASSI APARTMENTS - Appartamento ""I Colli""",Porto - Saragozza,Entire home/apt,74,1,3,10/09/2019,0.09,268,"44.49566,11.33852"
27228385,Downtown Loft,Porto - Saragozza,Entire home/apt,66,1,303,30/01/2020,8.49,221,"44.49777,11.3396"
27288467,Modern and spacious house,Porto - Saragozza,Entire home/apt,500,2,0,,,180,"44.49268,11.33622"
27303760,Appartamento Garisenda,Santo Stefano,Entire home/apt,64,1,40,11/12/2020,1.19,222,"44.48712,11.35021"
27428636,FIERA HOUSE APPARTAMENTO DELIZIOSO,San Donato - San Vitale,Entire home/apt,68,2,48,06/07/2019,1.36,140,"44.50492,11.37257"
27439567,HAPPY HOME BO CENTRO Self check in FREE PARKING,Santo Stefano,Entire home/apt,84,1,98,27/06/2021,2.84,150,"44.50358,11.34829"
27517377,Mari house (5 pax),Porto - Saragozza,Entire home/apt,90,2,105,02/07/2021,3.1,35,"44.49955,11.3406"
27624553,Comfortable Pizzardi39 || The Place Bo Apartments,San Donato - San Vitale,Entire home/apt,66,2,4,16/09/2018,0.12,0,"44.49068,11.3696"
